session_id,project,entrypoint,git_branch,version,cwd,first_timestamp,last_timestamp
0091baab-1691-4945-94d1-02a2ab7691fa,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-19T01:24:35.527Z,2026-03-25T09:15:00.565Z
112b6919-d52d-4bb4-82e1-121ead726a08,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-26T01:37:05.141Z,2026-03-26T10:03:26.008Z
1de5d7d6-2673-45b1-a859-dd810408390b,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-25T08:01:04.860Z,2026-03-25T08:42:45.644Z
3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,claude-vscode,HEAD,2.1.85,f:\FEM\OPTUM,2026-03-28T02:36:59.382Z,2026-03-28T06:04:47.483Z
5c208d6b-39ae-483f-bc9c-d20412cbeff1,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-18T11:26:28.437Z,2026-03-18T12:08:16.309Z
65737a49-6947-4810-91d1-6ef859f795b3,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-20T05:13:18.991Z,2026-03-20T05:24:22.224Z
a05f41a7-1721-48b8-a451-7d6ddf979ef2,FEM,claude-vscode,HEAD,2.1.78,f:\FEM\OPTUM,2026-03-19T00:45:20.867Z,2026-03-19T01:25:06.089Z
acbe3249-8219-4d52-afec-c926d562422e,GITHUB3,claude-vscode,HEAD,2.1.90,f:\GITHUB3\docs\manuscripts\current\ch5_centrifuge_testing_year2,2026-04-02T07:19:46.486Z,2026-04-02T07:25:06.310Z
038c9156-7e5e-4c94-afb2-e63b05705de9,TREE,claude-vscode,master,2.1.90,f:\TREE_OF_THOUGHT,2026-04-03T06:04:01.923Z,2026-04-07T05:01:03.820Z
164847ae-3c22-4fd5-8456-b38e4c1795e4,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-15T09:16:01.048Z,2026-04-15T09:40:21.135Z
1ed7801e-4bd0-4f99-8cbb-7e60b3eb521c,TREE,claude-vscode,master,2.1.88,f:\TREE_OF_THOUGHT,2026-03-31T02:31:09.476Z,2026-03-31T03:33:34.401Z
37653c7d-a068-4d3a-9ec7-0e0394d26373,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT,2026-04-17T09:52:38.146Z,2026-04-17T09:53:20.208Z
4ef87528-72ae-4ea2-8d89-0466ad7a07cb,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-15T07:31:35.551Z,2026-04-15T09:43:46.526Z
50864b80-5a88-49dc-be18-e47a500275e2,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-15T04:27:11.525Z,2026-04-15T04:52:46.017Z
51d961b8-1991-487d-9369-f44c2d88e17a,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-15T03:47:34.789Z,2026-04-15T09:00:54.115Z
63915fbf-ea5d-4ddd-a6c4-fe4a973e911e,TREE,claude-vscode,master,2.1.90,f:\TREE_OF_THOUGHT,2026-04-07T04:34:17.387Z,2026-04-11T05:34:01.871Z
646fe4a4-987f-4297-9cb7-b95f6a447e23,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT,2026-04-16T05:49:29.369Z,2026-04-16T08:06:53.951Z
8cda8629-6ce6-4bb7-a003-4536885cb5af,TREE,claude-vscode,master,2.1.88,f:\TREE_OF_THOUGHT,2026-03-31T03:48:14.690Z,2026-04-02T08:45:52.131Z
8d49f828-8324-4e7b-8285-d5fd1870a556,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-15T06:59:52.908Z,2026-04-15T07:25:00.659Z
90dc55ea-0d04-4c6a-a1d3-384123319b23,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT,2026-04-17T09:53:55.302Z,2026-04-17T10:40:36.512Z
a7ce8320-06b6-4d94-9eed-8e5a3bdb9431,TREE,claude-vscode,master,2.1.105,f:\TREE_OF_THOUGHT,2026-04-14T06:43:38.975Z,2026-04-14T07:43:06.036Z
aa1d5b3f-5c89-43ab-b709-c21fc4619e39,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT,2026-04-17T08:42:18.634Z,2026-04-17T09:50:58.577Z
c43ad764-d212-4125-be02-0e25af1029f0,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT,2026-04-16T04:23:35.430Z,2026-04-17T09:52:15.320Z
dd66ab01-377a-418a-8e10-3f26334ad734,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT,2026-04-17T04:26:23.320Z,2026-04-17T07:13:05.559Z
f78ecb9f-f12a-4744-bb1d-e8f1babe2e48,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT,2026-04-17T12:13:25.505Z,2026-04-17T16:35:45.890Z
54ade7be-86cd-4286-b094-900534c2d18e,TREE,claude-vscode,master,2.1.101,f:\TREE_OF_THOUGHT\APPLY,2026-04-13T07:43:22.530Z,2026-04-13T10:18:12.752Z
583c1656-56e4-40d5-a59d-d26052e0a152,TREE,claude-vscode,master,2.1.101,f:\TREE_OF_THOUGHT\APPLY,2026-04-14T02:47:04.820Z,2026-04-14T03:29:10.119Z
1231acfd-2a3c-4ce0-8550-53c10b8ca419,TREE,claude-vscode,master,2.1.109,f:\TREE_OF_THOUGHT\APPLY\Meeting_preparation,2026-04-15T09:31:40.251Z,2026-04-15T13:08:10.651Z
d0a45b53-50d4-434d-bf30-c2870f05b5de,TREE,claude-desktop,claude/ecstatic-khorana,2.1.87,F:\TREE_OF_THOUGHT\EVERYTHING\.claude\worktrees\ecstatic-khorana,2026-03-31T02:03:16.483Z,2026-03-31T02:17:27.804Z
080485c1-422b-4475-9f1e-7ec7d016ea40,TREE,claude-desktop,claude/elegant-saha,2.1.87,F:\TREE_OF_THOUGHT\EVERYTHING\.claude\worktrees\elegant-saha,2026-03-31T00:18:26.331Z,2026-03-31T01:45:14.829Z
3f0466ae-51cc-499c-9811-0a9fe7f35c95,TREE,claude-vscode,master,2.1.92,f:\TREE_OF_THOUGHT\EVERYTHING\RESTAURANT_SEARCH,2026-04-07T02:04:30.712Z,2026-04-07T03:43:57.066Z
b52f3db0-1e8a-4470-904e-dd6b34a403e2,TREE,claude-vscode,master,2.1.85,f:\TREE_OF_THOUGHT\FINANCE,2026-03-27T05:15:46.199Z,2026-03-27T06:04:41.735Z
fd96106e-6879-4de5-b7fd-3d4810a99613,TREE,claude-vscode,master,2.1.85,f:\TREE_OF_THOUGHT\FINANCE,2026-03-27T06:07:43.856Z,2026-03-27T06:09:08.131Z
73073729-167b-4a68-8df0-656954d33307,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\PHD,2026-04-13T07:33:43.183Z,2026-04-13T07:36:16.859Z
e751cc2d-4d52-4090-a9e0-373cac414be6,TREE,claude-vscode,main,2.1.96,f:\TREE_OF_THOUGHT\PHD,2026-04-10T04:33:07.261Z,2026-04-10T08:31:11.583Z
f04bc85d-5b8a-494a-8ce2-7edfb8db8722,TREE,claude-vscode,main,2.1.109,f:\TREE_OF_THOUGHT\PHD\papers\new_pdf,2026-04-17T04:33:20.995Z,2026-04-17T16:34:29.780Z
603427c4-78eb-417e-a0d2-4c3d2ce26981,TREE,claude-vscode,master,2.1.101,f:\TREE_OF_THOUGHT\QUANT,2026-04-12T05:44:50.334Z,2026-04-12T08:17:33.455Z
33a37b59-5f7d-47d4-9056-116df35a2cca,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\literature_review\sources,2026-04-12T11:03:10.825Z,2026-04-13T06:03:20.366Z
6645be63-c299-4b9c-8a5d-c488eec5f9e8,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_bayesian,2026-04-12T07:48:26.522Z,2026-04-12T07:58:13.449Z
8a192924-b7be-4d2f-b626-3823448ec11f,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_bayesian,2026-04-12T07:42:21.430Z,2026-04-12T07:43:08.069Z
a3d5039f-5e32-4718-b2e0-20414b014106,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_bayesian,2026-04-12T07:17:29.287Z,2026-04-12T07:26:40.285Z
31dbe3fe-b5a9-45fe-bf73-59c73b51ac8c,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_calibrator,2026-04-12T07:58:12.148Z,2026-04-12T08:08:10.351Z
43b91ee9-d444-4236-b38f-428fe0c9736e,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_calibrator,2026-04-12T07:42:13.351Z,2026-04-12T07:42:53.778Z
40e6a901-1c53-4461-874b-13701352246b,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_contrarian,2026-04-12T07:03:45.605Z,2026-04-12T07:08:30.030Z
bb99388e-51da-46a4-9b06-7154cba7a009,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_contrarian,2026-04-12T07:48:27.404Z,2026-04-12T07:55:18.467Z
c7c1d89b-5021-41c5-aa48-ee713fea9767,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_contrarian,2026-04-12T07:42:33.049Z,2026-04-12T07:43:01.060Z
f0a365f2-5403-489e-8455-70fbffd56f2e,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_contrarian,2026-04-12T07:17:17.260Z,2026-04-12T07:25:32.421Z
fa502aa0-6287-4887-8365-f49b4e464ce9,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_contrarian,2026-04-12T06:42:48.664Z,2026-04-12T06:48:19.093Z
957ea5a9-2c68-4876-b7da-f237a7f73ab5,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_domain_expert,2026-04-12T07:42:17.544Z,2026-04-12T07:42:41.397Z
e12b788a-e9a4-4461-af57-399a188065f5,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_domain_expert,2026-04-12T07:48:29.687Z,2026-04-12T07:55:58.267Z
0acc82a0-e3e0-46a0-b3ee-de18bc21e7a4,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_geopolitical,2026-04-12T07:42:41.977Z,2026-04-12T07:43:12.185Z
bf25e1d4-4aec-4f0a-b584-a8bbdc4e2691,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_geopolitical,2026-04-12T07:48:28.719Z,2026-04-12T07:54:18.509Z
d6563157-92ea-43e1-a055-13388db5395a,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_geopolitical,2026-04-12T07:17:05.976Z,2026-04-12T07:24:55.988Z
f792884b-0202-4ba4-9886-cb4919719adb,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_geopolitical,2026-04-12T06:42:47.550Z,2026-04-12T06:46:49.734Z
fff679af-d6e5-42a2-a8fd-2bf30c5e3447,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_geopolitical,2026-04-12T07:03:44.755Z,2026-04-12T07:07:25.578Z
71d1b2c1-ff9a-45c3-ba13-0c891c240127,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_journalist,2026-04-12T07:48:32.261Z,2026-04-12T07:57:13.347Z
7f6b60ad-4d2d-41e3-8f55-6e8c67092b3c,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_journalist,2026-04-12T07:17:22.476Z,2026-04-12T07:25:24.775Z
c051c7c7-3448-4092-8749-ce22f00102c8,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_journalist,2026-04-12T07:42:26.532Z,2026-04-12T07:43:02.268Z
2c3f9e1b-c545-41d9-b296-4d0a60d9b7d2,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_quant,2026-04-12T07:17:11.591Z,2026-04-12T07:23:06.870Z
4456dc37-5f6c-470f-852a-70474e909840,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_quant,2026-04-12T07:48:33.325Z,2026-04-12T07:54:36.553Z
a78b73a4-e578-4110-9cea-8d2bdc9481ff,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_quant,2026-04-12T07:42:37.374Z,2026-04-12T07:43:01.070Z
be58aef6-0433-40e5-a4f3-41092e1d96bf,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_quant,2026-04-12T06:42:45.653Z,2026-04-12T06:47:38.997Z
f195df7e-cf32-494e-b986-beb75d1e5130,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_quant,2026-04-12T07:03:43.695Z,2026-04-12T07:07:59.894Z
6812b62d-efa8-41f0-8bf1-3ad8ed9a74d1,TREE,claude-vscode,main,2.1.101,f:\TREE_OF_THOUGHT\QUANT\Swarm_Intelligence\fish_researcher,2026-04-12T07:42:46.312Z,2026-04-12T07:48:24.366Z
f01eaa1b-9547-4a04-82f1-a6d4ffb14952,TREE,claude-vscode,master,2.1.85,f:\TREE_OF_THOUGHT\READING_AND_WRITING,2026-03-27T06:26:41.947Z,2026-03-27T06:37:29.244Z
224bd10b-1696-4229-98de-d6def1a50225,TREE,unknown,master,2.1.77,f:\TREE_OF_THOUGHT\RESEARCH\LITERATURE_REVIEW\INTERNAL,2026-03-19T01:50:09.317Z,2026-03-19T09:18:16.166Z
818f29eb-1aa3-497f-9c3e-0b5dde0c50b9,TREE,unknown,master,2.1.77,f:\TREE_OF_THOUGHT\RESEARCH\LITERATURE_REVIEW\INTERNAL,2026-03-17T03:16:07.493Z,2026-03-20T07:21:17.571Z
e8c4860f-09c4-4c76-b29d-9c156cc31214,TREE,claude-vscode,master,2.1.92,f:\TREE_OF_THOUGHT\RESEARCH\REPORT,2026-04-07T04:58:14.169Z,2026-04-10T11:16:02.042Z
6fe47ff7-23ec-4b91-a81b-bf077aedaab1,TREE,claude-vscode,master,2.1.81,f:\TREE_OF_THOUGHT\RESEARCH\TikZ,2026-03-22T02:42:13.512Z,2026-03-22T04:41:58.466Z
28c666e9-039b-4de6-b3e4-f5fbc0df9862,TREE,claude-vscode,master,2.1.87,f:\TREE_OF_THOUGHT\TRAINING,2026-03-30T03:21:56.357Z,2026-03-30T09:01:57.930Z
7592a438-b3fc-4ea0-95c2-198b62f51d16,TREE,claude-vscode,master,2.1.90,f:\TREE_OF_THOUGHT\TRAINING,2026-04-02T06:23:59.296Z,2026-04-03T04:08:39.834Z
ecc34ff0-dc1f-4bdc-9afb-c32ff862f85c,TREE,claude-vscode,master,2.1.90,f:\TREE_OF_THOUGHT\TRAINING,2026-04-03T07:49:39.286Z,2026-04-03T09:58:56.307Z
608afec7-9b59-4b4b-8f51-2d0c8d31de57,TREE,claude-vscode,master,2.1.100,f:\TREE_OF_THOUGHT\TRAINING\data\BloodTests,2026-04-10T07:45:13.701Z,2026-04-10T08:02:00.360Z
c7c2dd21-4daf-4add-a98e-180b7e821591,TREE,claude-vscode,master,2.1.90,f:\TREE_OF_THOUGHT\TRAINING\data\DEXA,2026-04-03T10:00:45.433Z,2026-04-03T10:22:14.907Z
f9cfa713-6d8b-4ba7-94b4-b5e4ab990a8e,TREE,claude-vscode,master,2.1.90,f:\TREE_OF_THOUGHT\TRAINING\data\DEXA,2026-04-03T11:25:29.820Z,2026-04-03T23:58:26.297Z
10ca50f4-f876-4d92-ab82-16779d05da6b,TREE,claude-vscode,master,2.1.88,f:\TREE_OF_THOUGHT\WORK,2026-03-31T02:57:51.522Z,2026-03-31T03:16:48.455Z
